COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,2022-04-14,5940400,5246981,15.26,13.479,4595506,11.805,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,4,,
Albania,ALB,EURO,REPORTING,2022-04-10,2815381,1306364,97.8,45.902,1229560,43.204,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5,279457,9.819
Algeria,DZA,AFRO,REPORTING,2022-03-23,,7481277,,17.061,6147178,14.018,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",2021-01-30,4,514063,1.172
American Samoa,ASM,WPRO,REPORTING,2022-03-17,97346,43637,176.361,79.057,39137,70.904,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3,15135,27.42
Andorra,AND,EURO,REPORTING,2022-04-10,152301,57850,197.1,75.942,53406,70.108,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-20,3,41045,53.881
Angola,AGO,AFRO,REPORTING,2022-04-01,18756893,11799837,57.07,35.903,6127137,18.643,SII - Covishield,2021-03-10,1,333230,1.014
Anguilla,AIA,AMRO,REPORTING,2022-04-01,22714,10572,151.406,70.471,9624,64.151,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-02-05,2,2518,16.784
Antigua and Barbuda,ATG,AMRO,REPORTING,2022-04-01,135443,63918,138.307,65.27,61687,62.992,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,6,9838,10.046
Argentina,ARG,AMRO,REPORTING,2022-04-01,96708705,40920561,213.977,90.541,36966697,81.792,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,7,19126646,42.32
Armenia,ARM,EURO,REPORTING,2022-04-03,2141957,1128072,72.3,38.069,980101,33.075,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-06-16,7,39849,1.345
Aruba,ABW,AMRO,REPORTING,2022-04-01,169341,87919,158.609,82.347,81422,76.262,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2,,
Australia,AUS,WPRO,REPORTING,2022-04-02,56587064,22216890,221.911,87.125,21280501,83.453,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-21,5,12964119,50.84
Austria,AUT,EURO,REPORTING,2022-04-10,18216194,6818796,204.7,76.607,6599572,74.144,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,5148551,57.842
Azerbaijan,AZE,EURO,REPORTING,2022-04-10,13421400,5355455,132.4,52.819,4837801,47.714,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,4,3228146,31.838
Bahamas,BHS,AMRO,REPORTING,2022-04-01,335729,165385,85.374,42.057,156615,39.826,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-14,4,25164,6.399
